season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2022,1,THURSDAY 10TH MARCH,FULL TIME,,Panthers,Sea Eagles,28,6,"Penrith Park, Penrith",https://www.nrl.com/draw/nrl-premiership/2022/round-1/panthers-v-sea-eagles/
2022,1,FRIDAY 11TH MARCH,FULL TIME,,Raiders,Sharks,24,19,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2022/round-1/raiders-v-sharks/
2022,1,FRIDAY 11TH MARCH,FULL TIME,,Broncos,Rabbitohs,11,4,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2022/round-1/broncos-v-rabbitohs/
2022,1,SATURDAY 12TH MARCH,FULL TIME,,Roosters,Knights,6,20,"Sydney Cricket Ground, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-1/roosters-v-knights/
2022,1,SATURDAY 12TH MARCH,FULL TIME,,Warriors,Dragons,16,28,"Sunshine Coast Stadium, Sunshine Coast",https://www.nrl.com/draw/nrl-premiership/2022/round-1/warriors-v-dragons/
2022,1,SATURDAY 12TH MARCH,FULL TIME,,Wests Tigers,Storm,16,26,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-1/wests-tigers-v-storm/
2022,1,SUNDAY 13TH MARCH,FULL TIME,,Eels,Titans,32,28,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-1/eels-v-titans/
2022,1,SUNDAY 13TH MARCH,FULL TIME,,Cowboys,Bulldogs,4,6,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2022/round-1/cowboys-v-bulldogs/
2022,2,THURSDAY 17TH MARCH,FULL TIME,,Storm,Rabbitohs,15,14,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2022/round-2/storm-v-rabbitohs/
2022,2,FRIDAY 18TH MARCH,FULL TIME,,Dragons,Panthers,16,20,"Netstrata Jubilee Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-2/dragons-v-panthers/
2022,2,FRIDAY 18TH MARCH,FULL TIME,,Roosters,Sea Eagles,26,12,"Sydney Cricket Ground, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-2/roosters-v-sea-eagles/
2022,2,SATURDAY 19TH MARCH,FULL TIME,,Titans,Warriors,20,18,"Cbus Super Stadium, Gold Coast",https://www.nrl.com/draw/nrl-premiership/2022/round-2/titans-v-warriors/
2022,2,SATURDAY 19TH MARCH,FULL TIME,,Sharks,Eels,18,16,"PointsBet Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-2/sharks-v-eels/
2022,2,SATURDAY 19TH MARCH,FULL TIME,,Cowboys,Raiders,26,6,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2022/round-2/cowboys-v-raiders/
2022,2,SUNDAY 20TH MARCH,FULL TIME,,Knights,Wests Tigers,26,4,"McDonald Jones Stadium, Newcastle",https://www.nrl.com/draw/nrl-premiership/2022/round-2/knights-v-wests-tigers/
2022,2,SUNDAY 20TH MARCH,FULL TIME,,Bulldogs,Broncos,10,16,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-2/bulldogs-v-broncos/
2022,3,THURSDAY 24TH MARCH,FULL TIME,,Dragons,Sharks,12,36,"WIN Stadium, Wollongong",https://www.nrl.com/draw/nrl-premiership/2022/round-3/dragons-v-sharks/
2022,3,FRIDAY 25TH MARCH,FULL TIME,,Wests Tigers,Warriors,12,16,"Campbelltown Sports Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-3/wests-tigers-v-warriors/
2022,3,FRIDAY 25TH MARCH,FULL TIME,,Rabbitohs,Roosters,28,16,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-3/rabbitohs-v-roosters/
2022,3,SATURDAY 26TH MARCH,FULL TIME,,Panthers,Knights,38,20,"Carrington Park, Bathurst",https://www.nrl.com/draw/nrl-premiership/2022/round-3/panthers-v-knights/
2022,3,SATURDAY 26TH MARCH,FULL TIME,,Storm,Eels,24,28,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2022/round-3/storm-v-eels/
2022,3,SATURDAY 26TH MARCH,FULL TIME,,Raiders,Titans,24,22,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2022/round-3/raiders-v-titans/
2022,3,SUNDAY 27TH MARCH,FULL TIME,,Broncos,Cowboys,12,38,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2022/round-3/broncos-v-cowboys/
2022,3,SUNDAY 27TH MARCH,FULL TIME,,Sea Eagles,Bulldogs,13,12,"4 Pines Park, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-3/sea-eagles-v-bulldogs/
2022,4,THURSDAY 31ST MARCH,FULL TIME,,Titans,Wests Tigers,8,6,"Cbus Super Stadium, Gold Coast",https://www.nrl.com/draw/nrl-premiership/2022/round-4/titans-v-wests-tigers/
2022,4,FRIDAY 1ST APRIL,FULL TIME,,Sharks,Knights,18,0,"PointsBet Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-4/sharks-v-knights/
2022,4,FRIDAY 1ST APRIL,FULL TIME,,Panthers,Rabbitohs,26,12,"Penrith Park, Penrith",https://www.nrl.com/draw/nrl-premiership/2022/round-4/panthers-v-rabbitohs/
2022,4,SATURDAY 2ND APRIL,FULL TIME,,Warriors,Broncos,20,6,"Kayo Stadium, Redcliffe",https://www.nrl.com/draw/nrl-premiership/2022/round-4/warriors-v-broncos/
2022,4,SATURDAY 2ND APRIL,FULL TIME,,Sea Eagles,Raiders,25,6,"Glen Willow Oval, Mudgee",https://www.nrl.com/draw/nrl-premiership/2022/round-4/sea-eagles-v-raiders/
2022,4,SATURDAY 2ND APRIL,FULL TIME,,Cowboys,Roosters,4,28,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2022/round-4/cowboys-v-roosters/
2022,4,SUNDAY 3RD APRIL,FULL TIME,,Storm,Bulldogs,44,0,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2022/round-4/storm-v-bulldogs/
2022,4,SUNDAY 3RD APRIL,FULL TIME,,Eels,Dragons,48,14,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/round-4/eels-v-dragons/
2022,5,THURSDAY 7TH APRIL,FULL TIME,,Knights,Sea Eagles,6,30,"McDonald Jones Stadium, Newcastle",https://www.nrl.com/draw/nrl-premiership/2022/round-5/knights-v-sea-eagles/
2022,5,FRIDAY 8TH APRIL,FULL TIME,,Warriors,Cowboys,25,24,"Kayo Stadium, Redcliffe",https://www.nrl.com/draw/nrl-premiership/2022/round-5/warriors-v-cowboys/
2022,5,FRIDAY 8TH APRIL,FULL TIME,,Broncos,Roosters,20,24,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2022/round-5/broncos-v-roosters/
2022,5,SATURDAY 9TH APRIL,FULL TIME,,Raiders,Storm,16,30,"McDonalds Park, Wagga Wagga",https://www.nrl.com/draw/nrl-premiership/2022/round-5/raiders-v-storm/
