season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2023,28,FRIDAY 8TH SEPTEMBER,FULL TIME,,Broncos,Storm,26,0,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2023/finals-week-1/broncos-v-storm/
2023,28,SATURDAY 9TH SEPTEMBER,FULL TIME,,Panthers,Warriors,32,6,"BlueBet Stadium, Penrith",https://www.nrl.com/draw/nrl-premiership/2023/finals-week-1/panthers-v-warriors/
2023,28,SATURDAY 9TH SEPTEMBER,FULL TIME,,Sharks,Roosters,12,13,"PointsBet Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/finals-week-1/sharks-v-roosters/
2023,28,SUNDAY 10TH SEPTEMBER,FULL TIME,,Knights,Raiders,30,28,"McDonald Jones Stadium, Newcastle",https://www.nrl.com/draw/nrl-premiership/2023/finals-week-1/knights-v-raiders/
2023,29,FRIDAY 15TH SEPTEMBER,FULL TIME,,Storm,Roosters,18,13,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2023/finals-week-2/storm-v-roosters/
2023,29,SATURDAY 16TH SEPTEMBER,FULL TIME,,Warriors,Knights,40,10,"Go Media Stadium, Auckland",https://www.nrl.com/draw/nrl-premiership/2023/finals-week-2/warriors-v-knights/
2023,30,FRIDAY 22ND SEPTEMBER,FULL TIME,,Panthers,Storm,38,4,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/finals-week-3/panthers-v-storm/
2023,30,SATURDAY 23RD SEPTEMBER,FULL TIME,,Broncos,Warriors,42,12,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2023/finals-week-3/broncos-v-warriors/
2023,31,SUNDAY 1ST OCTOBER,FULL TIME,,Panthers,Broncos,26,24,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/grand-final/panthers-v-broncos/
