season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2016,27,FRIDAY 9TH SEPTEMBER,FULL TIME,,Broncos,Titans,44,28,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2016/finals-week-1/broncos-v-titans/
2016,27,SATURDAY 10TH SEPTEMBER,FULL TIME,,Raiders,Sharks,14,16,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2016/finals-week-1/raiders-v-sharks/
2016,27,SATURDAY 10TH SEPTEMBER,FULL TIME,,Storm,Cowboys,16,10,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2016/finals-week-1/storm-v-cowboys/
2016,27,SUNDAY 11TH SEPTEMBER,FULL TIME,,Panthers,Bulldogs,28,12,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2016/finals-week-1/panthers-v-bulldogs/
2016,28,FRIDAY 16TH SEPTEMBER,FULL TIME,,Cowboys,Broncos,26,20,"1300SMILES Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2016/finals-week-2/cowboys-v-broncos/
2016,28,SATURDAY 17TH SEPTEMBER,FULL TIME,,Raiders,Panthers,22,12,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2016/finals-week-2/raiders-v-panthers/
2016,29,FRIDAY 23RD SEPTEMBER,FULL TIME,,Sharks,Cowboys,32,20,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2016/finals-week-3/sharks-v-cowboys/
2016,29,SATURDAY 24TH SEPTEMBER,FULL TIME,,Storm,Raiders,14,12,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2016/finals-week-3/storm-v-raiders/
2016,30,SUNDAY 2ND OCTOBER,FULL TIME,,Storm,Sharks,12,14,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2016/grand-final/storm-v-sharks/
