season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2023,1,THURSDAY 2ND MARCH,FULL TIME,,Eels,Storm,12,16,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-1/eels-v-storm/
2023,1,FRIDAY 3RD MARCH,FULL TIME,,Warriors,Knights,20,12,"Sky Stadium, Wellington",https://www.nrl.com/draw/nrl-premiership/2023/round-1/warriors-v-knights/
2023,1,FRIDAY 3RD MARCH,FULL TIME,,Panthers,Broncos,12,13,"BlueBet Stadium, Penrith",https://www.nrl.com/draw/nrl-premiership/2023/round-1/panthers-v-broncos/
2023,1,SATURDAY 4TH MARCH,FULL TIME,,Sea Eagles,Bulldogs,31,6,"4 Pines Park, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-1/sea-eagles-v-bulldogs/
2023,1,SATURDAY 4TH MARCH,FULL TIME,,Cowboys,Raiders,19,18,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2023/round-1/cowboys-v-raiders/
2023,1,SATURDAY 4TH MARCH,FULL TIME,,Sharks,Rabbitohs,18,27,"PointsBet Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-1/sharks-v-rabbitohs/
2023,1,SUNDAY 5TH MARCH,FULL TIME,,Dolphins,Roosters,28,18,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2023/round-1/dolphins-v-roosters/
2023,1,SUNDAY 5TH MARCH,FULL TIME,,Wests Tigers,Titans,10,22,"Leichhardt Oval, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-1/wests-tigers-v-titans/
2023,2,THURSDAY 9TH MARCH,FULL TIME,,Panthers,Rabbitohs,16,10,"BlueBet Stadium, Penrith",https://www.nrl.com/draw/nrl-premiership/2023/round-2/panthers-v-rabbitohs/
2023,2,FRIDAY 10TH MARCH,FULL TIME,,Eels,Sharks,26,30,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-2/eels-v-sharks/
2023,2,FRIDAY 10TH MARCH,FULL TIME,,Broncos,Cowboys,28,16,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2023/round-2/broncos-v-cowboys/
2023,2,SATURDAY 11TH MARCH,FULL TIME,,Roosters,Warriors,20,12,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-2/roosters-v-warriors/
2023,2,SATURDAY 11TH MARCH,FULL TIME,,Dolphins,Raiders,20,14,"Kayo Stadium, Redcliffe",https://www.nrl.com/draw/nrl-premiership/2023/round-2/dolphins-v-raiders/
2023,2,SATURDAY 11TH MARCH,FULL TIME,,Storm,Bulldogs,12,26,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2023/round-2/storm-v-bulldogs/
2023,2,SUNDAY 12TH MARCH,FULL TIME,,Wests Tigers,Knights,12,14,"Leichhardt Oval, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-2/wests-tigers-v-knights/
2023,2,SUNDAY 12TH MARCH,FULL TIME,,Dragons,Titans,32,18,"Netstrata Jubilee Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-2/dragons-v-titans/
2023,3,THURSDAY 16TH MARCH,FULL TIME,,Sea Eagles,Eels,34,30,"4 Pines Park, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-3/sea-eagles-v-eels/
2023,3,FRIDAY 17TH MARCH,FULL TIME,,Knights,Dolphins,20,36,"McDonald Jones Stadium, Newcastle",https://www.nrl.com/draw/nrl-premiership/2023/round-3/knights-v-dolphins/
2023,3,FRIDAY 17TH MARCH,FULL TIME,,Roosters,Rabbitohs,20,18,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-3/roosters-v-rabbitohs/
2023,3,SATURDAY 18TH MARCH,FULL TIME,,Titans,Storm,38,34,"Cbus Super Stadium, Gold Coast",https://www.nrl.com/draw/nrl-premiership/2023/round-3/titans-v-storm/
2023,3,SATURDAY 18TH MARCH,FULL TIME,,Cowboys,Warriors,12,26,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2023/round-3/cowboys-v-warriors/
2023,3,SATURDAY 18TH MARCH,FULL TIME,,Broncos,Dragons,40,18,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2023/round-3/broncos-v-dragons/
2023,3,SUNDAY 19TH MARCH,FULL TIME,,Bulldogs,Wests Tigers,26,22,"Belmore Sports Ground, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-3/bulldogs-v-wests-tigers/
2023,3,SUNDAY 19TH MARCH,FULL TIME,,Raiders,Sharks,24,20,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2023/round-3/raiders-v-sharks/
2023,4,THURSDAY 23RD MARCH,FULL TIME,,Eels,Panthers,17,16,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-4/eels-v-panthers/
2023,4,FRIDAY 24TH MARCH,FULL TIME,,Storm,Wests Tigers,24,12,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2023/round-4/storm-v-wests-tigers/
2023,4,FRIDAY 24TH MARCH,FULL TIME,,Dolphins,Broncos,12,18,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2023/round-4/dolphins-v-broncos/
2023,4,SATURDAY 25TH MARCH,FULL TIME,,Cowboys,Titans,24,12,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2023/round-4/cowboys-v-titans/
2023,4,SATURDAY 25TH MARCH,FULL TIME,,Rabbitohs,Sea Eagles,13,12,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2023/round-4/rabbitohs-v-sea-eagles/
2023,4,SUNDAY 26TH MARCH,FULL TIME,,Warriors,Bulldogs,16,14,"Go Media Stadium, Auckland",https://www.nrl.com/draw/nrl-premiership/2023/round-4/warriors-v-bulldogs/
