season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2018,26,FRIDAY 7TH SEPTEMBER,FULL TIME,,Storm,Rabbitohs,29,28,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2018/finals-week-1/storm-v-rabbitohs/
2018,26,SATURDAY 8TH SEPTEMBER,FULL TIME,,Panthers,Warriors,27,12,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2018/finals-week-1/panthers-v-warriors/
2018,26,SATURDAY 8TH SEPTEMBER,FULL TIME,,Roosters,Sharks,21,12,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2018/finals-week-1/roosters-v-sharks/
2018,26,SUNDAY 9TH SEPTEMBER,FULL TIME,,Broncos,Dragons,18,48,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2018/finals-week-1/broncos-v-dragons/
2018,27,FRIDAY 14TH SEPTEMBER,FULL TIME,,Sharks,Panthers,21,20,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2018/finals-week-2/sharks-v-panthers/
2018,27,SATURDAY 15TH SEPTEMBER,FULL TIME,,Rabbitohs,Dragons,13,12,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2018/finals-week-2/rabbitohs-v-dragons/
2018,28,FRIDAY 21ST SEPTEMBER,FULL TIME,,Storm,Sharks,22,6,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2018/finals-week-3/storm-v-sharks/
2018,28,SATURDAY 22ND SEPTEMBER,FULL TIME,,Roosters,Rabbitohs,12,4,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2018/finals-week-3/roosters-v-rabbitohs/
2018,29,SUNDAY 30TH SEPTEMBER,FULL TIME,,Roosters,Storm,21,6,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2018/grand-final/roosters-v-storm/
