season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2024,28,FRIDAY 13TH SEPTEMBER,FULL TIME,,Panthers,Roosters,30,10,"BlueBet Stadium, Penrith",https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-1/
2024,28,SATURDAY 14TH SEPTEMBER,FULL TIME,,Storm,Sharks,37,10,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-2/
2024,28,SATURDAY 14TH SEPTEMBER,FULL TIME,,Cowboys,Knights,28,16,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-3/
2024,28,SUNDAY 15TH SEPTEMBER,FULL TIME,,Bulldogs,Sea Eagles,22,24,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-4/
2024,29,FRIDAY 20TH SEPTEMBER,FULL TIME,,Sharks,Cowboys,26,18,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2024/finals-week-2/game-1/
2024,29,SATURDAY 21ST SEPTEMBER,FULL TIME,,Roosters,Sea Eagles,40,16,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2024/finals-week-2/game-2/
2024,30,FRIDAY 27TH SEPTEMBER,FULL TIME,,Storm,Roosters,48,18,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2024/finals-week-3/game-1/
2024,30,SATURDAY 28TH SEPTEMBER,FULL TIME,,Panthers,Sharks,26,6,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2024/finals-week-3/game-2/
2024,31,SUNDAY 6TH OCTOBER,FULL TIME,,Storm,Panthers,6,14,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2024/grand-final/storm-v-panthers/
