season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2012,27,FRIDAY 7TH SEPTEMBER,FULL TIME,,Bulldogs,Sea Eagles,16,10,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2012/finals-week-1/bulldogs-v-sea-eagles/
2012,27,SATURDAY 8TH SEPTEMBER,FULL TIME,,Cowboys,Broncos,33,16,"1300SMILES Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2012/finals-week-1/cowboys-v-broncos/
2012,27,SUNDAY 9TH SEPTEMBER,FULL TIME,,Storm,Rabbitohs,24,6,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2012/finals-week-1/storm-v-rabbitohs/
2012,27,SUNDAY 9TH SEPTEMBER,FULL TIME,,Raiders,Sharks,34,16,"Canberra Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2012/finals-week-1/raiders-v-sharks/
2012,28,FRIDAY 14TH SEPTEMBER,FULL TIME,,Sea Eagles,Cowboys,22,12,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2012/finals-week-2/sea-eagles-v-cowboys/
2012,28,SATURDAY 15TH SEPTEMBER,FULL TIME,,Rabbitohs,Raiders,38,16,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2012/finals-week-2/rabbitohs-v-raiders/
2012,29,FRIDAY 21ST SEPTEMBER,FULL TIME,,Storm,Sea Eagles,40,12,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2012/finals-week-3/storm-v-sea-eagles/
2012,29,SATURDAY 22ND SEPTEMBER,FULL TIME,,Bulldogs,Rabbitohs,32,8,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2012/finals-week-3/bulldogs-v-rabbitohs/
2012,30,SUNDAY 30TH SEPTEMBER,FULL TIME,,Bulldogs,Storm,4,14,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2012/grand-final/bulldogs-v-storm/
