season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2013,27,FRIDAY 13TH SEPTEMBER,FULL TIME,,Rabbitohs,Storm,20,10,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2013/round-27/rabbitohs-v-storm/
2013,27,SATURDAY 14TH SEPTEMBER,FULL TIME,,Sharks,Cowboys,20,18,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2013/round-27/sharks-v-cowboys/
2013,27,SATURDAY 14TH SEPTEMBER,FULL TIME,,Roosters,Sea Eagles,4,0,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2013/round-27/roosters-v-sea-eagles/
2013,27,SUNDAY 15TH SEPTEMBER,FULL TIME,,Knights,Bulldogs,22,6,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2013/round-27/knights-v-bulldogs/
2013,28,FRIDAY 20TH SEPTEMBER,FULL TIME,,Sea Eagles,Sharks,24,18,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2013/round-28/sea-eagles-v-sharks/
2013,28,SATURDAY 21ST SEPTEMBER,FULL TIME,,Storm,Knights,16,18,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2013/round-28/storm-v-knights/
2013,29,FRIDAY 27TH SEPTEMBER,FULL TIME,,Rabbitohs,Sea Eagles,20,30,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2013/round-29/rabbitohs-v-sea-eagles/
2013,29,SATURDAY 28TH SEPTEMBER,FULL TIME,,Roosters,Knights,40,14,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2013/round-29/roosters-v-knights/
2013,30,SUNDAY 6TH OCTOBER,FULL TIME,,Roosters,Sea Eagles,26,18,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2013/round-30/roosters-v-sea-eagles/
