season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2015,27,FRIDAY 11TH SEPTEMBER,FULL TIME,,Roosters,Storm,18,20,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2015/finals-week-1/roosters-v-storm/
2015,27,SATURDAY 12TH SEPTEMBER,FULL TIME,,Bulldogs,Dragons,11,10,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2015/finals-week-1/bulldogs-v-dragons/
2015,27,SATURDAY 12TH SEPTEMBER,FULL TIME,,Broncos,Cowboys,16,12,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2015/finals-week-1/broncos-v-cowboys/
2015,27,SUNDAY 13TH SEPTEMBER,FULL TIME,,Sharks,Rabbitohs,28,12,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2015/finals-week-1/sharks-v-rabbitohs/
2015,28,FRIDAY 18TH SEPTEMBER,FULL TIME,,Roosters,Bulldogs,38,12,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2015/finals-week-2/roosters-v-bulldogs/
2015,28,SATURDAY 19TH SEPTEMBER,FULL TIME,,Cowboys,Sharks,39,0,"1300SMILES Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2015/finals-week-2/cowboys-v-sharks/
2015,29,FRIDAY 25TH SEPTEMBER,FULL TIME,,Broncos,Roosters,31,12,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2015/finals-week-3/broncos-v-roosters/
2015,29,SATURDAY 26TH SEPTEMBER,FULL TIME,,Storm,Cowboys,12,32,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2015/finals-week-3/storm-v-cowboys/
2015,30,SUNDAY 4TH OCTOBER,FULL TIME,,Broncos,Cowboys,16,17,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2015/grand-final/broncos-v-cowboys/
