season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2019,26,FRIDAY 13TH SEPTEMBER,FULL TIME,,Roosters,Rabbitohs,30,6,"Sydney Cricket Ground, Sydney",https://www.nrl.com/draw/nrl-premiership/2019/finals-week-1/roosters-v-rabbitohs/
2019,26,SATURDAY 14TH SEPTEMBER,FULL TIME,,Storm,Raiders,10,12,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2019/finals-week-1/storm-v-raiders/
2019,26,SATURDAY 14TH SEPTEMBER,FULL TIME,,Sea Eagles,Sharks,28,16,"4 Pines Park, Sydney",https://www.nrl.com/draw/nrl-premiership/2019/finals-week-1/sea-eagles-v-sharks/
2019,26,SUNDAY 15TH SEPTEMBER,FULL TIME,,Eels,Broncos,58,0,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2019/finals-week-1/eels-v-broncos/
2019,27,FRIDAY 20TH SEPTEMBER,FULL TIME,,Rabbitohs,Sea Eagles,34,26,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2019/finals-week-2/rabbitohs-v-sea-eagles/
2019,27,SATURDAY 21ST SEPTEMBER,FULL TIME,,Storm,Eels,32,0,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2019/finals-week-2/storm-v-eels/
2019,28,FRIDAY 27TH SEPTEMBER,FULL TIME,,Raiders,Rabbitohs,16,10,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2019/finals-week-3/raiders-v-rabbitohs/
2019,28,SATURDAY 28TH SEPTEMBER,FULL TIME,,Roosters,Storm,14,6,"Sydney Cricket Ground, Sydney",https://www.nrl.com/draw/nrl-premiership/2019/finals-week-3/roosters-v-storm/
2019,29,SUNDAY 6TH OCTOBER,FULL TIME,,Roosters,Raiders,14,8,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2019/grand-final/roosters-v-raiders/
