season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2021,26,FRIDAY 10TH SEPTEMBER,FULL TIME,,Storm,Sea Eagles,40,12,"Sunshine Coast Stadium, Sunshine Coast",https://www.nrl.com/draw/nrl-premiership/2021/finals-week-1/storm-v-sea-eagles/
2021,26,SATURDAY 11TH SEPTEMBER,FULL TIME,,Roosters,Titans,25,24,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2021/finals-week-1/roosters-v-titans/
2021,26,SATURDAY 11TH SEPTEMBER,FULL TIME,,Panthers,Rabbitohs,10,16,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2021/finals-week-1/panthers-v-rabbitohs/
2021,26,SUNDAY 12TH SEPTEMBER,FULL TIME,,Eels,Knights,28,20,"Browne Park, Rockhampton",https://www.nrl.com/draw/nrl-premiership/2021/finals-week-1/eels-v-knights/
2021,27,FRIDAY 17TH SEPTEMBER,FULL TIME,,Sea Eagles,Roosters,42,6,"BB Print Stadium, Mackay",https://www.nrl.com/draw/nrl-premiership/2021/finals-week-2/sea-eagles-v-roosters/
2021,27,SATURDAY 18TH SEPTEMBER,FULL TIME,,Panthers,Eels,8,6,"BB Print Stadium, Mackay",https://www.nrl.com/draw/nrl-premiership/2021/finals-week-2/panthers-v-eels/
2021,28,FRIDAY 24TH SEPTEMBER,FULL TIME,,Rabbitohs,Sea Eagles,36,16,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2021/finals-week-3/rabbitohs-v-sea-eagles/
2021,28,SATURDAY 25TH SEPTEMBER,FULL TIME,,Storm,Panthers,6,10,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2021/finals-week-3/storm-v-panthers/
2021,29,SUNDAY 3RD OCTOBER,FULL TIME,,Panthers,Rabbitohs,14,12,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2021/grand-final/panthers-v-rabbitohs/
