season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2020,21,FRIDAY 2ND OCTOBER,FULL TIME,,Panthers,Roosters,29,28,"BlueBet Stadium, Penrith",https://www.nrl.com/draw/nrl-premiership/2020/finals-week-1/panthers-v-roosters/
2020,21,SATURDAY 3RD OCTOBER,FULL TIME,,Raiders,Sharks,32,20,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2020/finals-week-1/raiders-v-sharks/
2020,21,SATURDAY 3RD OCTOBER,FULL TIME,,Storm,Eels,36,24,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2020/finals-week-1/storm-v-eels/
2020,21,SUNDAY 4TH OCTOBER,FULL TIME,,Rabbitohs,Knights,46,20,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2020/finals-week-1/rabbitohs-v-knights/
2020,22,FRIDAY 9TH OCTOBER,FULL TIME,,Roosters,Raiders,18,22,"Sydney Cricket Ground, Sydney",https://www.nrl.com/draw/nrl-premiership/2020/finals-week-2/roosters-v-raiders/
2020,22,SATURDAY 10TH OCTOBER,FULL TIME,,Eels,Rabbitohs,24,38,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2020/finals-week-2/eels-v-rabbitohs/
2020,23,FRIDAY 16TH OCTOBER,FULL TIME,,Storm,Raiders,30,10,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2020/finals-week-3/storm-v-raiders/
2020,23,SATURDAY 17TH OCTOBER,FULL TIME,,Panthers,Rabbitohs,20,16,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2020/finals-week-3/panthers-v-rabbitohs/
2020,24,SUNDAY 25TH OCTOBER,FULL TIME,,Panthers,Storm,20,26,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2020/grand-final/panthers-v-storm/
