season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2014,27,FRIDAY 12TH SEPTEMBER,FULL TIME,,Sea Eagles,Rabbitohs,24,40,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2014/finals-week-1/sea-eagles-v-rabbitohs/
2014,27,SATURDAY 13TH SEPTEMBER,FULL TIME,,Roosters,Panthers,18,19,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2014/finals-week-1/roosters-v-panthers/
2014,27,SATURDAY 13TH SEPTEMBER,FULL TIME,,Cowboys,Broncos,32,20,"1300SMILES Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2014/finals-week-1/cowboys-v-broncos/
2014,27,SUNDAY 14TH SEPTEMBER,FULL TIME,,Storm,Bulldogs,4,28,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2014/finals-week-1/storm-v-bulldogs/
2014,28,FRIDAY 19TH SEPTEMBER,FULL TIME,,Roosters,Cowboys,31,30,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2014/finals-week-2/roosters-v-cowboys/
2014,28,SATURDAY 20TH SEPTEMBER,FULL TIME,,Sea Eagles,Bulldogs,17,18,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2014/finals-week-2/sea-eagles-v-bulldogs/
2014,29,FRIDAY 26TH SEPTEMBER,FULL TIME,,Rabbitohs,Roosters,32,22,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2014/finals-week-3/rabbitohs-v-roosters/
2014,29,SATURDAY 27TH SEPTEMBER,FULL TIME,,Panthers,Bulldogs,12,18,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2014/finals-week-3/panthers-v-bulldogs/
2014,30,SUNDAY 5TH OCTOBER,FULL TIME,,Rabbitohs,Bulldogs,30,6,"ANZ Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2014/grand-final/rabbitohs-v-bulldogs/
