season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2022,26,FRIDAY 9TH SEPTEMBER,FULL TIME,,Panthers,Eels,27,8,"Penrith Park, Penrith",https://www.nrl.com/draw/nrl-premiership/2022/finals-week-1/panthers-v-eels/
2022,26,SATURDAY 10TH SEPTEMBER,FULL TIME,,Storm,Raiders,20,28,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2022/finals-week-1/storm-v-raiders/
2022,26,SATURDAY 10TH SEPTEMBER,FULL TIME,,Sharks,Cowboys,30,32,"PointsBet Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/finals-week-1/sharks-v-cowboys/
2022,26,SUNDAY 11TH SEPTEMBER,FULL TIME,,Roosters,Rabbitohs,14,30,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/finals-week-1/roosters-v-rabbitohs/
2022,27,FRIDAY 16TH SEPTEMBER,FULL TIME,,Eels,Raiders,40,4,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/finals-week-2/eels-v-raiders/
2022,27,SATURDAY 17TH SEPTEMBER,FULL TIME,,Sharks,Rabbitohs,12,38,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/finals-week-2/sharks-v-rabbitohs/
2022,28,FRIDAY 23RD SEPTEMBER,FULL TIME,,Cowboys,Eels,20,24,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2022/finals-week-3/cowboys-v-eels/
2022,28,SATURDAY 24TH SEPTEMBER,FULL TIME,,Panthers,Rabbitohs,32,12,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/finals-week-3/panthers-v-rabbitohs/
2022,29,SUNDAY 2ND OCTOBER,FULL TIME,,Panthers,Eels,28,12,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2022/grand-final/panthers-v-eels/
